           Date        GOOGL
962  2013-10-29   518.638611
963  2013-10-30   515.725708
964  2013-10-31   515.805786
965  2013-11-01   514.034058
966  2013-11-04   513.568542
967  2013-11-05   511.271271
968  2013-11-06   511.886902
969  2013-11-07   504.479492
970  2013-11-08   508.523529
971  2013-11-11   505.800812
972  2013-11-12   506.396393
973  2013-11-13   516.751770
974  2013-11-14   518.133118
975  2013-11-15   517.297302
976  2013-11-18   516.291321
977  2013-11-19   513.113098
978  2013-11-20   511.666656
979  2013-11-21   517.552551
980  2013-11-22   516.461487
981  2013-11-25   523.488464
982  2013-11-26   529.734741
983  2013-11-27   532.087097
984  2013-11-29   530.325317
985  2013-12-02   527.767761
986  2013-12-03   527.157166
987  2013-12-04   529.619629
988  2013-12-05   529.199219
989  2013-12-06   535.470459
990  2013-12-09   539.609619
991  2013-12-10   542.872864
992  2013-12-11   539.184204
993  2013-12-12   535.515503
994  2013-12-13   530.925903
995  2013-12-16   537.027039
