           Date         AMZN
711  2012-10-26   238.240005
712  2012-10-31   232.889999
713  2012-11-01   232.139999
714  2012-11-02   232.419998
715  2012-11-05   234.330002
716  2012-11-06   237.559998
717  2012-11-07   232.059998
718  2012-11-08   227.350006
719  2012-11-09   226.309998
720  2012-11-12   226.470001
721  2012-11-13   226.600006
722  2012-11-14   222.949997
723  2012-11-15   220.600006
724  2012-11-16   225.229996
725  2012-11-19   229.710007
726  2012-11-20   233.779999
727  2012-11-21   238.029999
728  2012-11-23   239.880005
729  2012-11-26   243.619995
730  2012-11-27   243.399994
731  2012-11-28   247.110001
732  2012-11-29   251.270004
733  2012-11-30   252.050003
734  2012-12-03   250.330002
735  2012-12-04   252.490005
736  2012-12-05   253.960007
737  2012-12-06   253.369995
738  2012-12-07   253.270004
739  2012-12-10   247.770004
740  2012-12-11   250.690002
741  2012-12-12   251.759995
742  2012-12-13   251.250000
743  2012-12-14   249.190002
744  2012-12-17   253.860001
745  2012-12-18   260.399994
746  2012-12-19   257.989990
747  2012-12-20   261.500000
748  2012-12-21   256.920013
749  2012-12-24   258.619995
750  2012-12-26   248.630005
751  2012-12-27   248.309998
752  2012-12-28   245.179993
753  2012-12-31   250.869995
754  2013-01-02   257.309998
755  2013-01-03   258.480011
756  2013-01-04   259.149994
757  2013-01-07   268.459991
758  2013-01-08   266.380005
759  2013-01-09   266.350006
760  2013-01-10   265.339996
761  2013-01-11   267.940002
762  2013-01-14   272.730011
763  2013-01-15   271.899994
764  2013-01-16   268.929993
765  2013-01-17   270.480011
766  2013-01-18   272.119995
767  2013-01-22   270.190002
768  2013-01-23   268.109985
769  2013-01-24   273.459991
770  2013-01-25   283.989990
771  2013-01-28   276.040009
772  2013-01-29   260.350006
773  2013-01-30   272.760010
774  2013-01-31   265.500000
775  2013-02-01   265.000000
776  2013-02-04   259.980011
777  2013-02-05   266.890015
778  2013-02-06   262.220001
779  2013-02-07   260.230011
780  2013-02-08   261.950012
781  2013-02-11   257.209991
782  2013-02-12   258.700012
783  2013-02-13   269.470001
784  2013-02-14   269.239990
785  2013-02-15   265.089996
786  2013-02-19   269.750000
787  2013-02-20   266.410004
788  2013-02-21   265.940002
789  2013-02-22   265.420013
790  2013-02-25   259.869995
791  2013-02-26   259.359985
792  2013-02-27   263.250000
793  2013-02-28   264.269989
794  2013-03-01   265.739990
795  2013-03-04   273.109985
796  2013-03-05   275.589996
797  2013-03-06   273.790009
798  2013-03-07   273.880005
799  2013-03-08   274.190002
800  2013-03-11   271.239990
801  2013-03-12   274.130005
802  2013-03-13   275.100006
803  2013-03-14   265.739990
804  2013-03-15   261.820007
805  2013-03-18   257.890015
806  2013-03-19   256.410004
807  2013-03-20   257.279999
808  2013-03-21   253.389999
809  2013-03-22   257.750000
810  2013-03-25   256.019989
811  2013-03-26   260.309998
812  2013-03-27   265.299988
813  2013-03-28   266.489990
814  2013-04-01   261.609985
815  2013-04-02   263.320007
816  2013-04-03   259.029999
817  2013-04-04   259.079987
818  2013-04-05   255.479996
819  2013-04-08   258.950012
820  2013-04-09   261.140015
821  2013-04-10   264.769989
822  2013-04-11   269.850006
823  2013-04-12   272.869995
824  2013-04-15   267.720001
825  2013-04-16   272.339996
826  2013-04-17   267.399994
827  2013-04-18   259.420013
828  2013-04-19   260.320007
829  2013-04-22   263.549988
830  2013-04-23   268.899994
831  2013-04-24   268.779999
832  2013-04-25   274.700012
833  2013-04-26   254.809998
834  2013-04-29   249.740005
835  2013-04-30   253.809998
836  2013-05-01   248.229996
837  2013-05-02   252.550003
838  2013-05-03   258.049988
839  2013-05-06   255.720001
840  2013-05-07   257.730011
841  2013-05-08   258.679993
842  2013-05-09   260.160004
843  2013-05-10   263.630005
844  2013-05-13   264.510010
845  2013-05-14   268.329987
846  2013-05-15   266.559998
847  2013-05-16   264.119995
848  2013-05-17   269.899994
849  2013-05-20   267.630005
850  2013-05-21   268.859985
851  2013-05-22   262.959991
852  2013-05-23   261.799988
853  2013-05-24   261.739990
854  2013-05-28   267.290009
855  2013-05-29   265.529999
856  2013-05-30   266.829987
857  2013-05-31   269.200012
858  2013-06-03   266.880005
859  2013-06-04   265.700012
860  2013-06-05   267.170013
861  2013-06-06   267.829987
862  2013-06-07   276.869995
863  2013-06-10   281.070007
864  2013-06-11   274.779999
865  2013-06-12   271.670013
866  2013-06-13   275.790009
867  2013-06-14   273.989990
868  2013-06-17   278.059998
869  2013-06-18   281.760010
870  2013-06-19   278.160004
871  2013-06-20   273.440002
872  2013-06-21   273.359985
873  2013-06-24   270.609985
874  2013-06-25   272.089996
875  2013-06-26   277.570007
876  2013-06-27   277.549988
877  2013-06-28   277.690002
878  2013-07-01   282.100006
879  2013-07-02   283.730011
880  2013-07-03   284.029999
881  2013-07-05   285.880005
882  2013-07-08   290.589996
883  2013-07-09   291.529999
884  2013-07-10   292.329987
885  2013-07-11   299.660004
886  2013-07-12   307.549988
887  2013-07-15   306.570007
888  2013-07-16   306.869995
889  2013-07-17   308.690002
890  2013-07-18   304.109985
891  2013-07-19   305.230011
892  2013-07-22   303.480011
893  2013-07-23   301.059998
894  2013-07-24   298.940002
895  2013-07-25   303.399994
896  2013-07-26   312.010010
897  2013-07-29   306.100006
898  2013-07-30   302.410004
899  2013-07-31   301.220001
900  2013-08-01   305.570007
901  2013-08-02   304.209991
902  2013-08-05   300.989990
903  2013-08-06   300.750000
904  2013-08-07   296.910004
905  2013-08-08   295.739990
906  2013-08-09   297.260010
907  2013-08-12   296.690002
908  2013-08-13   293.970001
909  2013-08-14   291.339996
910  2013-08-15   286.470001
911  2013-08-16   284.820007
912  2013-08-19   285.570007
913  2013-08-20   287.089996
914  2013-08-21   284.570007
915  2013-08-22   289.730011
916  2013-08-23   290.010010
917  2013-08-26   286.209991
918  2013-08-27   280.929993
919  2013-08-28   281.579987
920  2013-08-29   283.980011
921  2013-08-30   280.980011
922  2013-09-03   288.799988
923  2013-09-04   293.640015
924  2013-09-05   294.100006
925  2013-09-06   295.859985
926  2013-09-09   299.709991
927  2013-09-10   300.359985
928  2013-09-11   299.640015
929  2013-09-12   298.859985
930  2013-09-13   297.920013
931  2013-09-16   296.059998
932  2013-09-17   304.170013
933  2013-09-18   312.029999
934  2013-09-19   312.059998
935  2013-09-20   316.339996
936  2013-09-23   311.489990
937  2013-09-24   314.130005
938  2013-09-25   312.649994
939  2013-09-26   318.119995
940  2013-09-27   316.010010
941  2013-09-30   312.640015
942  2013-10-01   320.950012
943  2013-10-02   320.510010
944  2013-10-03   314.760010
945  2013-10-04   319.040009
946  2013-10-07   310.029999
947  2013-10-08   303.230011
948  2013-10-09   298.230011
949  2013-10-10   305.170013
950  2013-10-11   310.890015
951  2013-10-14   310.700012
952  2013-10-15   306.399994
953  2013-10-16   310.489990
954  2013-10-17   310.769989
955  2013-10-18   328.929993
956  2013-10-21   326.440002
957  2013-10-22   332.540009
958  2013-10-23   326.760010
959  2013-10-24   332.209991
960  2013-10-25   363.390015
961  2013-10-28   358.160004
962  2013-10-29   362.700012
963  2013-10-30   361.079987
964  2013-10-31   364.029999
965  2013-11-01   359.000000
966  2013-11-04   358.739990
967  2013-11-05   358.890015
968  2013-11-06   356.179993
969  2013-11-07   343.559998
970  2013-11-08   350.309998
971  2013-11-11   354.380005
972  2013-11-12   349.529999
973  2013-11-13   356.220001
974  2013-11-14   367.399994
975  2013-11-15   369.170013
976  2013-11-18   366.179993
977  2013-11-19   364.940002
978  2013-11-20   362.570007
979  2013-11-21   368.920013
980  2013-11-22   372.309998
981  2013-11-25   376.640015
982  2013-11-26   381.369995
983  2013-11-27   386.709991
984  2013-11-29   393.619995
985  2013-12-02   392.299988
986  2013-12-03   384.660004
987  2013-12-04   385.959991
988  2013-12-05   384.489990
989  2013-12-06   386.950012
990  2013-12-09   384.890015
991  2013-12-10   387.779999
992  2013-12-11   382.190002
993  2013-12-12   381.250000
994  2013-12-13   384.239990
995  2013-12-16   388.970001
